PARK,ATTENDANCE,year,Region
Fort Clinch,179521,2004,NorthEast
Wakulla Springs State Park,168412,2004,NorthCentral
Amelia Island,166084,2004,NorthEast
Crystal River Preserve,163171,2004,CentralWest
Egmont Key,156560,2004,CentralWest
St. Joseph,152721,2004,NorthWest
Hillsborough River,151785,2004,CentralWest
Avalon,147579,2004,CentralEast
Fort Pierce Inlet,145222,2004,CentralEast
Big Talbot Island,138944,2004,NorthEast
Alfred B. Maclay Gardens,135454,2004,NorthCentral
Ichetucknee Springs,130631,2004,NorthCentral
St. Sebastian River,125086,2004,CentralEast
Topsail Hill State Preserve,120665,2004,NorthWest
Jonathan Dickinson,118593,2004,SouthEast
Ravine Gardens,113567,2004,NorthEast
Anclote Key,110393,2004,CentralWest
Little Talbot Island,109981,2004,NorthEast
Fort George Island,108144,2004,NorthEast
Manatee Springs,106741,2004,NorthCentral
Oscar Scherer,105571,2004,CentralWest
Curry Hammock,104657,2004,SouthEast
Grayton Beach,103815,2004,NorthWest
John D MacArthur Beach,101670,2004,SouthEast
Navarre Beach State Park,101272,2004,NorthWest
Flagler Beach,101154,2004,NorthEast
Florida Caverns,91427,2004,NorthWest
Fakahatchee Strand,89350,2004,SouthWest
Rocky Bayou,88456,2004,NorthWest
Tomoka,81252,2004,CentralEast
Stephen Foster,79640,2004,NorthCentral
Shell Island,72884,2004,NorthEast
Collier-Seminole,72854,2004,SouthWest
Long Key,67539,2004,SouthEast
Lake Louisa,67173,2004,Central
Big Lagoon,66665,2004,NorthWest
Washington Oaks,62376,2004,NorthEast
Lake Jackson Mounds,59610,2004,NorthCentral
San Felasco Hammock,57428,2004,NorthCentral
Koreshan,56331,2004,SouthWest
O'Leno,55606,2004,NorthCentral
Gold Head Branch,53298,2004,NorthEast
North Peninsula,51406,2004,CentralEast
Perdido Key,50802,2004,NorthWest
Don Pedro Island,49693,2004,SouthWest
Gamble Plantation,48982,2004,CentralWest
Blackwater River,46672,2004,NorthWest
Lake Manatee,45228,2004,CentralWest
Lake Kissimmee,43022,2004,Central
Alafia River,40513,2004,CentralWest
Bald Point,37903,2004,NorthWest
Devil's Millhopper,37257,2004,NorthCentral
Cayo Costa,36580,2004,SouthWest
Eden State Gardens,36111,2004,NorthWest
Olustee Battlefield,35956,2004,NorthCentral
Nature & Heritage Tourism Center,34163,2004,NorthCentral
Werner-Boyce,33265,2004,CentralWest
Ponce de Leon,32965,2004,NorthWest
Jack Island,32795,2004,CentralEast
Faver-Dykes,32314,2004,NorthEast
Falling Waters,32120,2004,NorthWest
Yulee Sugar Mills,31269,2004,CentralWest
Paynes Creek,29792,2004,Central
Lake Griffin,29458,2004,Central
The Barnacle,28387,2004,SouthEast
Ochlockonee River,27424,2004,NorthCentral
Fort Mose,26440,2004,NorthEast
Forest Capital,25703,2004,NorthCentral
Suwannee River,25569,2004,NorthCentral
Wacasassa Bay,25146,2004,NorthCentral
Hontoon Island,24583,2004,Central
Ybor City,23775,2004,CentralWest
Little Manatee River,23670,2004,CentralWest
Bulow Creek,23095,2004,CentralEast
Torreya,21599,2004,NorthWest
Key Largo Hammock,21399,2004,SouthEast
Three Rivers,20188,2004,NorthWest
Cedar Key State Museum,19500,2004,NorthCentral
Crystal River Arch. Site,18483,2004,CentralWest
