PARK,ATTENDANCE,year,Region
Windley Key,15557,2010,SouthEast
Cedar Key State Museum,15196,2010,NorthCentral
Key Largo Hammock,14458,2010,SouthEast
Kissimmee Prairie,13831,2010,CentralEast
St. Lucie Inlet,13746,2010,CentralEast
Anderson's Landing,12999,2010,NorthCentral
Dudley Farm,12575,2010,NorthCentral
Seabranch,10656,2010,CentralEast
Pumpkin Hill Creek,10589,2010,NorthEast
Dunn's Creek,10476,2010,NorthEast
Terra Ceia,10310,2010,CentralWest
Rock Springs Run,10027,2010,NorthCentral
Colt Creek,8663,2010,CentralWest
Deer Lake,7689,2010,NorthWest
San Marcos de Apalache,6773,2010,NorthCentral
Econfina River,6418,2010,NorthCentral
Suwannee River Wilderness Trail,5720,2010,NorthCentral
Catfish Creek,5535,2010,Central
Lake Talquin/River Bluff,5343,2010,NorthCentral
River Rise,5117,2010,NorthCentral
Natural Bridge Battlefield,5094,2010,NorthCentral
Orman House,4802,2010,NorthCentral
Estero Bay,3933,2010,SouthWest
Haw Creek,3862,2010,NorthEast
Tarkiln Bayou,3684,2010,NorthWest
Jack Island,3678,2010,CentralEast
San Pedro,3393,2010,SouthEast
Letchworth Mounds,3180,2010,NorthCentral
Lower Wekiva River,3033,2010,Central
Madira Bickel Mound,2740,2010,CentralWest
John Gorrie Museum,2496,2010,NorthCentral
Atlantic Ridge,2037,2010,SouthEast
Constitution Convention,1999,2010,NorthWest
Mound Key,1915,2010,SouthWest
Lake June Scrub,1197,2010,Central
Yellow River Marshes,283,2010,NorthWest
Beker,40,2010,CentralEast
Florida Keys Overseas Heritage Trail,1702037,2011,SouthEast
Honeymoon Island,1089588,2011,CentralWest
Cross Florida Greenway,1012107,2011,CentralWest
St. Andrews,975661,2011,NorthWest
Gasparilla Island,872917,2011,SouthWest
Lover's Key,812864,2011,SouthWest
John Pennekamp Coral Reef,725619,2011,SouthEast
Anastasia,631716,2011,CentralWest
Cape Florida,614282,2011,SouthEast
Sebastian Inlet,594188,2011,CentralEast
Stump Pass Beach,588300,2011,SouthWest
Bahia Honda,557785,2011,SouthEast
John U. Lloyd Beach,550335,2011,SouthEast
Blue Spring,495715,2011,CentralEast
Delnor-Wiggins Pass,473731,2011,SouthWest
Fort Zachary Taylor,456452,2011,SouthEast
Oleta River,430662,2011,SouthEast
Myakka River,384039,2011,CentralWest
Withlacoochee State Trail,365537,2011,CentralWest
Homosassa Springs,291521,2011,CentralWest
Big Talbot Island,274817,2011,NorthEast
Little Talbot Island,274245,2011,NorthEast
Hugh Taylor Birch,267353,2011,SouthEast
De Leon Springs,261920,2011,CentralEast
Tallahassee/St. Marks Trail,260232,2011,NorthCentral
Silver Springs State Park,245994,2011,Central
Rainbow Springs,244610,2011,Central
Amelia Island,244141,2011,NorthEast
Wakulla Springs State Park,234687,2011,NorthCentral
Wekiwa Springs,230464,2011,Central
Henderson Beach,220294,2011,NorthWest
Caladesi Island,219857,2011,CentralWest
Fort Clinch,219668,2011,NorthEast
Fanning Springs,214743,2011,NorthCentral
St. George Island,213606,2011,NorthWest
Egmont Key,204393,2011,CentralWest
Fort Pierce Inlet,202726,2011,CentralEast
Skyway State Fishing Pier,201954,2011,CentralWest
Weeki Wachee Springs,194403,2011,CentralWest
Crystal River Preserve,193828,2011,CentralWest
St. Joseph,186320,2011,NorthWest
Paynes Prairie,176134,2011,NorthCentral
Avalon,169156,2011,CentralEast
Topsail Hill State Preserve,168863,2011,NorthWest
Jonathan Dickinson,167266,2011,SouthEast
Hillsborough River,164389,2011,CentralWest
Tomoka,162920,2011,CentralEast
Highlands Hammock,161501,2011,Central
Alfred B. Maclay Gardens,159391,2011,NorthCentral
Anclote Key,150125,2011,CentralWest
Ichetucknee Springs,148213,2011,NorthCentral
Nature Coast State Trail,147623,2011,NorthCentral
John D MacArthur Beach,142386,2011,SouthEast
Grayton Beach,139562,2011,NorthWest
Fakahatchee Strand,137910,2011,SouthWest
Manatee Springs,137504,2011,NorthCentral
Oscar Scherer,129988,2011,CentralWest
North Peninsula,127756,2011,CentralEast
Big Lagoon,118705,2011,NorthWest
Blackwater Heritage Trail,117045,2011,NorthWest
Ravine Gardens,116760,2011,NorthEast
Curry Hammock,115360,2011,SouthEast
Flagler Beach,111463,2011,NorthEast
Stephen Foster,108019,2011,NorthCentral
Lake Louisa,101418,2011,Central
Florida Caverns,96831,2011,NorthWest
Van Fleet State Trail,92712,2011,Central
George Crady Fishing Pier,90487,2011,NorthEast
Palatka-Lake Butler Trail,89897,2011,NorthCentral
Cayo Costa,83586,2011,SouthWest
Blackwater River,76770,2011,NorthWest
Charlotte Harbor,76665,2011,SouthWest
Rocky Bayou,72045,2011,NorthWest
St. Sebastian River,69978,2011,CentralEast
Koreshan,69486,2011,SouthWest
Eden State Gardens,66203,2011,NorthWest
Fort Mose,65959,2011,NorthEast
Gamble Plantation,64900,2011,CentralWest
O'Leno,63035,2011,NorthCentral
Alafia River,60812,2011,CentralWest
Collier-Seminole,60540,2011,SouthWest
Washington Oaks,59423,2011,NorthEast
Bulow Creek,58176,2011,CentralEast
Long Key,58033,2011,SouthEast
The Barnacle,57157,2011,SouthEast
San Felasco Hammock,56387,2011,NorthCentral
Fort George Island,55432,2011,NorthEast
Lake Kissimmee,53059,2011,Central
Lake Okeechobee Scenic Trail,52723,2011,SouthEast
Gold Head Branch,49158,2011,NorthEast
Werner-Boyce,48526,2011,CentralWest
Ponce de Leon,47190,2011,NorthWest
Devil's Millhopper,46797,2011,NorthCentral
Hontoon Island,44405,2011,Central
Lake Manatee,43858,2011,CentralWest
Indian Key,42952,2011,SouthEast
Falling Waters,39975,2011,NorthWest
Pumpkin Hill Creek,39610,2011,NorthEast
Ochlockonee River,36766,2011,NorthCentral
Lignumvitae Key,36075,2011,SouthEast
Lafayette Blue Springs,35229,2011,NorthCentral
Bald Point,34495,2011,NorthWest
Camp Helen,34362,2011,NorthWest
Suwannee River,34210,2011,NorthCentral
Forest Capital,34069,2011,NorthCentral
Three Rivers,34027,2011,NorthWest
Faver-Dykes,32784,2011,NorthEast
Wacasassa Bay,31593,2011,NorthCentral
Lake Griffin,30891,2011,Central
Little Manatee River,30344,2011,CentralWest
Yulee Sugar Mills,30120,2011,CentralWest
Olustee Battlefield,29237,2011,NorthCentral
Don Pedro Island,28748,2011,SouthWest
Fort Cooper,28049,2011,CentralWest
Nature & Heritage Tourism Center,27824,2011,NorthCentral
Madison Blue Springs,27197,2011,NorthCentral
Perdido Key,26511,2011,NorthWest
Paynes Creek,25224,2011,Central
Torreya,25202,2011,NorthWest
Ybor City,23402,2011,CentralWest
Peacock Springs,22660,2011,NorthCentral
Cedar Key State Museum,21648,2011,NorthCentral
Dade Battlefield,21478,2011,Central
Big Shoals,20227,2011,NorthCentral
Savannas,19242,2011,CentralEast
Marjorie Kinnan Rawlings,17439,2011,NorthCentral
Bulow Plantation Ruins,17026,2011,CentralEast
Terra Ceia,16834,2011,CentralWest
Windley Key,16655,2011,SouthEast
Crystal River Arch. Site,16644,2011,CentralWest
Cedar Key Scrub,16216,2011,NorthCentral
Key Largo Hammock,15523,2011,SouthEast
Kissimmee Prairie,15120,2011,CentralEast
Colt Creek,15054,2011,CentralWest
Dudley Farm,14800,2011,NorthCentral
Rock Springs Run,14576,2011,NorthCentral
St. Lucie Inlet,13993,2011,CentralEast
Palatka-St. Augustine Rail Trail,10905,2011,NorthEast
Seabranch,10840,2011,CentralEast
Dunn's Creek,10460,2011,NorthEast
Lake Jackson Mounds,9632,2011,NorthCentral
Lake Talquin/River Bluff,9513,2011,NorthCentral
Lower Wekiva River,9060,2011,Central
San Marcos de Apalache,8673,2011,NorthCentral
Deer Lake,7539,2011,NorthWest
Orman House,7014,2011,NorthCentral
Econfina River,6298,2011,NorthCentral
Tarkiln Bayou,5765,2011,NorthWest
Troy Springs,5329,2011,NorthCentral
Haw Creek,4835,2011,NorthEast
Yellow River Marshes,4780,2011,NorthWest
River Rise,4463,2011,NorthCentral
Catfish Creek,3454,2011,Central
Madira Bickel Mound,3436,2011,CentralWest
Estero Bay,3372,2011,SouthWest
San Pedro,3107,2011,SouthEast
Natural Bridge Battlefield,3079,2011,NorthCentral
Letchworth Mounds,2688,2011,NorthCentral
John Gorrie Museum,2525,2011,NorthCentral
Constitution Convention,2286,2011,NorthWest
Atlantic Ridge,2244,2011,SouthEast
Mound Key,1531,2011,SouthWest
Lake June Scrub,1269,2011,Central
Beker,53,2011,CentralEast
Florida Keys Overseas Heritage Trail,1983489,2012,SouthEast
Honeymoon Island,1044295,2012,CentralWest
Cross Florida Greenway,998927,2012,CentralWest
St. Andrews,893102,2012,NorthWest
Lover's Key,846012,2012,SouthWest
Gasparilla Island,799811,2012,SouthWest
John Pennekamp Coral Reef,769751,2012,SouthEast
Cape Florida,657184,2012,SouthEast
Sebastian Inlet,598459,2012,CentralEast
Bahia Honda,582093,2012,SouthEast
Stump Pass Beach,545370,2012,SouthWest
Blue Spring,525455,2012,CentralEast
Anastasia,520602,2012,CentralWest
Delnor-Wiggins Pass,492389,2012,SouthWest
Fort Zachary Taylor,467765,2012,SouthEast
John U. Lloyd Beach,466262,2012,SouthEast
Myakka River,425377,2012,CentralWest
Oleta River,423939,2012,SouthEast
Withlacoochee State Trail,381940,2012,CentralWest
Homosassa Springs,314544,2012,CentralWest
Big Talbot Island,292803,2012,NorthEast
Paynes Prairie,278453,2012,NorthCentral
Rainbow Springs,269722,2012,Central
Hugh Taylor Birch,256378,2012,SouthEast
Henderson Beach,253088,2012,NorthWest
George Crady Fishing Pier,250317,2012,NorthEast
Wekiwa Springs,246299,2012,Central
Fort Clinch,245846,2012,NorthEast
Silver Springs State Park,243080,2012,Central
Weeki Wachee Springs,237742,2012,CentralWest
Little Talbot Island,230171,2012,NorthEast
St. Joseph,228473,2012,NorthWest
De Leon Springs,224796,2012,CentralEast
Egmont Key,213722,2012,CentralWest
Skyway State Fishing Pier,212306,2012,CentralWest
Wakulla Springs State Park,210607,2012,NorthCentral
St. George Island,209155,2012,NorthWest
Tomoka,208217,2012,CentralEast
Jonathan Dickinson,207366,2012,SouthEast
Caladesi Island,204189,2012,CentralWest
Topsail Hill State Preserve,200271,2012,NorthWest
Hillsborough River,186915,2012,CentralWest
Fort Pierce Inlet,186480,2012,CentralEast
Avalon,185542,2012,CentralEast
Alfred B. Maclay Gardens,172360,2012,NorthCentral
Grayton Beach,172034,2012,NorthWest
Crystal River Preserve,169027,2012,CentralWest
Fanning Springs,166133,2012,NorthCentral
Highlands Hammock,160834,2012,Central
Tallahassee/St. Marks Trail,154324,2012,NorthCentral
Curry Hammock,151461,2012,SouthEast
Nature Coast State Trail,150395,2012,NorthCentral
John D MacArthur Beach,150372,2012,SouthEast
Manatee Springs,146831,2012,NorthCentral
North Peninsula,145685,2012,CentralEast
Oscar Scherer,141843,2012,CentralWest
Ravine Gardens,138630,2012,NorthEast
Big Lagoon,136827,2012,NorthWest
Ichetucknee Springs,135923,2012,NorthCentral
Anclote Key,133299,2012,CentralWest
Stephen Foster,123869,2012,NorthCentral
Flagler Beach,120955,2012,NorthEast
Fakahatchee Strand,119760,2012,SouthWest
Palatka-Lake Butler Trail,116776,2012,NorthCentral
Blackwater Heritage Trail,113211,2012,NorthWest
Long Key,113107,2012,SouthEast
Florida Caverns,107597,2012,NorthWest
Lake Louisa,104852,2012,Central
Cayo Costa,90012,2012,SouthWest
Blackwater River,81594,2012,NorthWest
Koreshan,81394,2012,SouthWest
Amelia Island,78814,2012,NorthEast
Rocky Bayou,78143,2012,NorthWest
Collier-Seminole,77504,2012,SouthWest
Charlotte Harbor,76240,2012,SouthWest
O'Leno,71429,2012,NorthCentral
The Barnacle,70593,2012,SouthEast
Gamble Plantation,69272,2012,CentralWest
Alafia River,68759,2012,CentralWest
St. Sebastian River,67828,2012,CentralEast
Gold Head Branch,66168,2012,NorthEast
Fort Mose,64929,2012,NorthEast
Lake Kissimmee,64782,2012,Central
Washington Oaks,61520,2012,NorthEast
Indian Key,60322,2012,SouthEast
Bulow Creek,59503,2012,CentralEast
Terra Ceia,58673,2012,CentralWest
San Felasco Hammock,54790,2012,NorthCentral
Eden State Gardens,54498,2012,NorthWest
Devil's Millhopper,53843,2012,NorthCentral
Werner-Boyce,51489,2012,CentralWest
Falling Waters,51145,2012,NorthWest
Ochlockonee River,46754,2012,NorthCentral
Lake Manatee,45738,2012,CentralWest
Hontoon Island,45036,2012,Central
Lignumvitae Key,43905,2012,SouthEast
Bald Point,41476,2012,NorthWest
Three Rivers,40706,2012,NorthWest
Ponce de Leon,39333,2012,NorthWest
Van Fleet State Trail,39106,2012,Central
Little Manatee River,38946,2012,CentralWest
Camp Helen,38382,2012,NorthWest
Fort George Island,37899,2012,NorthEast
Lake Griffin,37539,2012,Central
Suwannee River,37316,2012,NorthCentral
Faver-Dykes,35361,2012,NorthEast
Colt Creek,32771,2012,CentralWest
Wacasassa Bay,32237,2012,NorthCentral
Torreya,31357,2012,NorthWest
Yulee Sugar Mills,30854,2012,CentralWest
Dade Battlefield,30724,2012,Central
Olustee Battlefield,28409,2012,NorthCentral
Forest Capital,28117,2012,NorthCentral
Fort Cooper,27827,2012,CentralWest
Don Pedro Island,26157,2012,SouthWest
Paynes Creek,25935,2012,Central
Savannas,25666,2012,CentralEast
Pumpkin Hill Creek,25441,2012,NorthEast
Perdido Key,25258,2012,NorthWest
Cedar Key Scrub,23416,2012,NorthCentral
Ybor City,22241,2012,CentralWest
Lake Jackson Mounds,21662,2012,NorthCentral
Madison Blue Springs,20736,2012,NorthCentral
Peacock Springs,19832,2012,NorthCentral
Bulow Plantation Ruins,19727,2012,CentralEast
Kissimmee Prairie,19086,2012,CentralEast
Key Largo Hammock,17888,2012,SouthEast
Crystal River Arch. Site,17313,2012,CentralWest
Marjorie Kinnan Rawlings,16898,2012,NorthCentral
Dudley Farm,16346,2012,NorthCentral
Lafayette Blue Springs,16118,2012,NorthCentral
Lake Talquin/River Bluff,15574,2012,NorthCentral
Palatka-St. Augustine Rail Trail,14750,2012,NorthEast
Windley Key,14402,2012,SouthEast
St. Lucie Inlet,14219,2012,CentralEast
Cedar Key State Museum,14155,2012,NorthCentral
Dunn's Creek,13466,2012,NorthEast
Big Shoals,12379,2012,NorthCentral
San Marcos de Apalache,12124,2012,NorthCentral
Lower Wekiva River,11836,2012,Central
Rock Springs Run,11606,2012,NorthCentral
Seabranch,11102,2012,CentralEast
Tarkiln Bayou,7279,2012,NorthWest
Letchworth Mounds,7271,2012,NorthCentral
Orman House,6159,2012,NorthCentral
Deer Lake,6118,2012,NorthWest
Haw Creek,5735,2012,NorthEast
Madira Bickel Mound,4886,2012,CentralWest
Econfina River,4852,2012,NorthCentral
San Pedro,4272,2012,SouthEast
Yellow River Marshes,4246,2012,NorthWest
Atlantic Ridge,4074,2012,SouthEast
Catfish Creek,4006,2012,Central
River Rise,3872,2012,NorthCentral
Natural Bridge Battlefield,3549,2012,NorthCentral
Nature & Heritage Tourism Center,3417,2012,NorthCentral
Troy Springs,3124,2012,NorthCentral
Estero Bay,2916,2012,SouthWest
John Gorrie Museum,2439,2012,NorthCentral
Constitution Convention,1712,2012,NorthWest
Mound Key,1620,2012,SouthWest
Lake June Scrub,1068,2012,Central
Florida Keys Overseas Heritage Trail,1490078,2013,SouthEast
Honeymoon Island,1152115,2013,CentralWest
Lover's Key,974431,2013,SouthWest
Cross Florida Greenway,927008,2013,CentralWest
Cape Florida,882500,2013,SouthEast
John Pennekamp Coral Reef,874179,2013,SouthEast
St. Andrews,870995,2013,NorthWest
Gasparilla Island,857884,2013,SouthWest
Bahia Honda,675997,2013,SouthEast
Sebastian Inlet,638966,2013,CentralEast
Blue Spring,601433,2013,CentralEast
Delnor-Wiggins Pass,566947,2013,SouthWest
John U. Lloyd Beach,557421,2013,SouthEast
Oleta River,552188,2013,SouthEast
Stump Pass Beach,544525,2013,SouthWest
Anastasia,539936,2013,CentralWest
Fort Zachary Taylor,484772,2013,SouthEast
Myakka River,432257,2013,CentralWest
Withlacoochee State Trail,405632,2013,CentralWest
Wekiwa Springs,334551,2013,Central
Rainbow Springs,327508,2013,Central
Silver Springs State Park,318155,2013,Central
Homosassa Springs,314247,2013,CentralWest
Weeki Wachee Springs,306132,2013,CentralWest
Hugh Taylor Birch,299012,2013,SouthEast
Henderson Beach,277384,2013,NorthWest
Big Talbot Island,274986,2013,NorthEast
Fort Clinch,260205,2013,NorthEast
Tomoka,255176,2013,CentralEast
Little Talbot Island,246208,2013,NorthEast
St. Joseph,242558,2013,NorthWest
Caladesi Island,242287,2013,CentralWest
Egmont Key,235564,2013,CentralWest
St. George Island,225236,2013,NorthWest
Skyway State Fishing Pier,225e3,2013,CentralWest
De Leon Springs,224837,2013,CentralEast
Wakulla Springs State Park,224725,2013,NorthCentral
Paynes Prairie,217971,2013,NorthCentral
Jonathan Dickinson,213652,2013,SouthEast
Avalon,210803,2013,CentralEast
Ravine Gardens,206532,2013,NorthEast
Topsail Hill State Preserve,202117,2013,NorthWest
Fort Pierce Inlet,194911,2013,CentralEast
Hillsborough River,194348,2013,CentralWest
Grayton Beach,186153,2013,NorthWest
Curry Hammock,177241,2013,SouthEast
North Peninsula,172123,2013,CentralEast
Nature Coast State Trail,170669,2013,NorthCentral
Anclote Key,168599,2013,CentralWest
Long Key,164615,2013,SouthEast
Highlands Hammock,164379,2013,Central
George Crady Fishing Pier,163693,2013,NorthEast
Alfred B. Maclay Gardens,159661,2013,NorthCentral
Crystal River Preserve,156004,2013,CentralWest
Flagler Beach,155450,2013,NorthEast
John D MacArthur Beach,151374,2013,SouthEast
Ichetucknee Springs,150654,2013,NorthCentral
Oscar Scherer,147413,2013,CentralWest
Manatee Springs,147315,2013,NorthCentral
Tallahassee/St. Marks Trail,141882,2013,NorthCentral
Big Lagoon,141489,2013,NorthWest
Fanning Springs,141209,2013,NorthCentral
Fakahatchee Strand,126164,2013,SouthWest
Fort Mose,121438,2013,NorthEast
Amelia Island,118616,2013,NorthEast
Palatka-Lake Butler Trail,113905,2013,NorthCentral
Stephen Foster,113275,2013,NorthCentral
Lake Louisa,113066,2013,Central
Blackwater Heritage Trail,105498,2013,NorthWest
The Barnacle,103396,2013,SouthEast
Florida Caverns,98034,2013,NorthWest
Koreshan,97180,2013,SouthWest
Rocky Bayou,82903,2013,NorthWest
Alafia River,78271,2013,CentralWest
Charlotte Harbor,78065,2013,SouthWest
O'Leno,76131,2013,NorthCentral
Gold Head Branch,75768,2013,NorthEast
Terra Ceia,75319,2013,CentralWest
Gamble Plantation,73552,2013,CentralWest
Lignumvitae Key,71695,2013,SouthEast
Blackwater River,70383,2013,NorthWest
Cayo Costa,69866,2013,SouthWest
Lake Kissimmee,69705,2013,Central
Washington Oaks,68425,2013,NorthEast
Indian Key,68180,2013,SouthEast
Palatka-St. Augustine Rail Trail,66580,2013,NorthEast
St. Sebastian River,65079,2013,CentralEast
Collier-Seminole,64806,2013,SouthWest
Bulow Creek,63372,2013,CentralEast
Paynes Creek,56526,2013,Central
Falling Waters,55781,2013,NorthWest
Werner-Boyce,51638,2013,CentralWest
Devil's Millhopper,50977,2013,NorthCentral
Lake Manatee,50104,2013,CentralWest
Eden State Gardens,47872,2013,NorthWest
Bald Point,47697,2013,NorthWest
Hontoon Island,47596,2013,Central
Ochlockonee River,45476,2013,NorthCentral
Little Manatee River,44122,2013,CentralWest
Don Pedro Island,44107,2013,SouthWest
San Felasco Hammock,42335,2013,NorthCentral
Van Fleet State Trail,42201,2013,Central
Lake Griffin,40743,2013,Central
Three Rivers,39285,2013,NorthWest
Suwannee River,38831,2013,NorthCentral
Forest Capital,37084,2013,NorthCentral
Faver-Dykes,35043,2013,NorthEast
Olustee Battlefield,33967,2013,NorthCentral
Camp Helen,33925,2013,NorthWest
Fort George Island,33072,2013,NorthEast
Pumpkin Hill Creek,32981,2013,NorthEast
Torreya,31221,2013,NorthWest
Yulee Sugar Mills,30767,2013,CentralWest
Ponce de Leon,30548,2013,NorthWest
Colt Creek,29317,2013,CentralWest
Fort Cooper,28915,2013,CentralWest
Perdido Key,28103,2013,NorthWest
Savannas,27911,2013,CentralEast
Dade Battlefield,27722,2013,Central
Wacasassa Bay,27721,2013,NorthCentral
Ybor City,22572,2013,CentralWest
Seabranch,20775,2013,CentralEast
Lake Jackson Mounds,20398,2013,NorthCentral
St. Lucie Inlet,19498,2013,CentralEast
Kissimmee Prairie,19486,2013,CentralEast
Bulow Plantation Ruins,19322,2013,CentralEast
Peacock Springs,17747,2013,NorthCentral
Estero Bay,17676,2013,SouthWest
Lake Talquin/River Bluff,16793,2013,NorthCentral
Dunn's Creek,16704,2013,NorthEast
Crystal River Arch. Site,16539,2013,CentralWest
San Pedro,16404,2013,SouthEast
Cedar Key Scrub,15782,2013,NorthCentral
Dudley Farm,15566,2013,NorthCentral
Marjorie Kinnan Rawlings,14873,2013,NorthCentral
Key Largo Hammock,14640,2013,SouthEast
Cedar Key State Museum,13924,2013,NorthCentral
Lower Wekiva River,13819,2013,Central
San Marcos de Apalache,12460,2013,NorthCentral
Rock Springs Run,11860,2013,NorthCentral
Windley Key,11673,2013,SouthEast
Lafayette Blue Springs,10850,2013,NorthCentral
Big Shoals,9657,2013,NorthCentral
Madison Blue Springs,8846,2013,NorthCentral
Orman House,7614,2013,NorthCentral
Anderson's Landing,7386,2013,NorthCentral
Letchworth Mounds,7291,2013,NorthCentral
Tarkiln Bayou,7206,2013,NorthWest
Deer Lake,6468,2013,NorthWest
Econfina River,6259,2013,NorthCentral
Haw Creek,5475,2013,NorthEast
Yellow River Marshes,4677,2013,NorthWest
Atlantic Ridge,4496,2013,SouthEast
Madira Bickel Mound,4461,2013,CentralWest
River Rise,4444,2013,NorthCentral
Catfish Creek,4203,2013,Central
Natural Bridge Battlefield,4138,2013,NorthCentral
Mound Key,2868,2013,SouthWest
John Gorrie Museum,2657,2013,NorthCentral
Troy Springs,2535,2013,NorthCentral
Addison Blockhouse Museum,2414,2013,CentralEast
Constitution Convention,1403,2013,NorthWest
Lake June Scrub,1011,2013,Central
Beker,28,2013,CentralEast
Jack Island,1,2013,CentralEast
Cross Florida Greenway,2479025,2014,CentralWest
Florida Keys Overseas Heritage Trail,1395083,2014,SouthEast
Honeymoon Island,1185220,2014,CentralWest
Anastasia,1060093,2014,CentralWest
St. Andrews,1011837,2014,NorthWest
Cape Florida,959166,2014,SouthEast
Lover's Key,933362,2014,SouthWest
John Pennekamp Coral Reef,853846,2014,SouthEast
Sebastian Inlet,763530,2014,CentralEast
Bahia Honda,656159,2014,SouthEast
Oleta River,655484,2014,SouthEast
Blue Spring,629632,2014,CentralEast
Henderson Beach,600927,2014,NorthWest
Delnor-Wiggins Pass,593929,2014,SouthWest
John U. Lloyd Beach,581850,2014,SouthEast
Fort Zachary Taylor,524859,2014,SouthEast
Gasparilla Island,482166,2014,SouthWest
Silver Springs State Park,459698,2014,Central
Hugh Taylor Birch,435465,2014,SouthEast
Withlacoochee State Trail,414979,2014,CentralWest
Ichetucknee Springs,407672,2014,NorthCentral
Wekiwa Springs,404651,2014,Central
Myakka River,404341,2014,CentralWest
Rainbow Springs,398808,2014,Central
Weeki Wachee Springs,390305,2014,CentralWest
Stump Pass Beach,362152,2014,SouthWest
Homosassa Springs,319289,2014,CentralWest
Caladesi Island,306958,2014,CentralWest
Fort Clinch,300338,2014,NorthEast
Jonathan Dickinson,295509,2014,SouthEast
St. Joseph,293971,2014,NorthWest
St. George Island,290212,2014,NorthWest
Topsail Hill State Preserve,273100,2014,NorthWest
Wakulla Springs State Park,270686,2014,NorthCentral
Big Talbot Island,264462,2014,NorthEast
Grayton Beach,254522,2014,NorthWest
De Leon Springs,242576,2014,CentralEast
Paynes Prairie,239254,2014,NorthCentral
Hillsborough River,239684,2014,CentralWest
Little Talbot Island,233462,2014,NorthEast
Egmont Key,228624,2014,CentralWest
Skyway State Fishing Pier,222010,2014,CentralWest
Fort Pierce Inlet,212027,2014,CentralEast
Oscar Scherer,211680,2014,CentralWest
Ravine Gardens,211178,2014,NorthEast
Anclote Key,202661,2014,CentralWest
Tomoka,186671,2014,CentralEast
Avalon,178962,2014,CentralEast
Crystal River Preserve,177528,2014,CentralWest
Manatee Springs,176370,2014,NorthCentral
John D MacArthur Beach,166191,2014,SouthEast
Big Lagoon,164616,2014,NorthWest
Highlands Hammock,163487,2014,Central
Lake Louisa,161168,2014,Central
Nature Coast State Trail,159345,2014,NorthCentral
North Peninsula,158402,2014,CentralEast
Long Key,152388,2014,SouthEast
Fanning Springs,152232,2014,NorthCentral
Alfred B. Maclay Gardens,150504,2014,NorthCentral
Flagler Beach,149663,2014,NorthEast
Curry Hammock,147142,2014,SouthEast
Florida Caverns,142644,2014,NorthWest
Tallahassee/St. Marks Trail,136058,2014,NorthCentral
Koreshan,131020,2014,SouthWest
Fakahatchee Strand,121543,2014,SouthWest
The Barnacle,117856,2014,SouthEast
Palatka-Lake Butler Trail,112453,2014,NorthCentral
Blackwater Heritage Trail,112035,2014,NorthWest
Stephen Foster,108148,2014,NorthCentral
Rocky Bayou,102290,2014,NorthWest
Alafia River,97600,2014,CentralWest
Blackwater River,95634,2014,NorthWest
Terra Ceia,94405,2014,CentralWest
Lignumvitae Key,92177,2014,SouthEast
Gold Head Branch,90641,2014,NorthEast
Amelia Island,87095,2014,NorthEast
Washington Oaks,84300,2014,NorthEast
O'Leno,82106,2014,NorthCentral
Indian Key,78020,2014,SouthEast
Charlotte Harbor,76985,2014,SouthWest
Lake Kissimmee,76727,2014,Central
Cayo Costa,76638,2014,SouthWest
Bulow Creek,75196,2014,CentralEast
Suwannee River,74057,2014,NorthCentral
Falling Waters,72606,2014,NorthWest
Ochlockonee River,71001,2014,NorthCentral
Collier-Seminole,67195,2014,SouthWest
Gamble Plantation,65891,2014,CentralWest
Devil's Millhopper,63015,2014,NorthCentral
San Felasco Hammock,62859,2014,NorthCentral
Lake Manatee,62207,2014,CentralWest
Hontoon Island,60194,2014,Central
Lake Griffin,53307,2014,Central
Don Pedro Island,52077,2014,SouthWest
Little Manatee River,51882,2014,CentralWest
Fort Mose,51840,2014,NorthEast
Eden State Gardens,50705,2014,NorthWest
Bald Point,50090,2014,NorthWest
Palatka-St. Augustine Rail Trail,49762,2014,NorthEast
St. Sebastian River,48110,2014,CentralEast
Paynes Creek,48043,2014,Central
Werner-Boyce,46927,2014,CentralWest
Camp Helen,45637,2014,NorthWest
Torreya,45237,2014,NorthWest
Savannas,44691,2014,CentralEast
Three Rivers,43930,2014,NorthWest
Key Largo Hammock,40563,2014,SouthEast
Faver-Dykes,40453,2014,NorthEast
Madison Blue Springs,40130,2014,NorthCentral
Wacasassa Bay,37879,2014,NorthCentral
Ponce de Leon,37594,2014,NorthWest
Fort Cooper,37418,2014,CentralWest
Colt Creek,33222,2014,CentralWest
Fort George Island,32649,2014,NorthEast
Van Fleet State Trail,32620,2014,Central
Crystal River Arch. Site,32606,2014,CentralWest
Perdido Key,31005,2014,NorthWest
Dade Battlefield,30208,2014,Central
Yulee Sugar Mills,29934,2014,CentralWest
Lafayette Blue Springs,29753,2014,NorthCentral
George Crady Fishing Pier,28333,2014,NorthEast
Olustee Battlefield,27856,2014,NorthCentral
Dudley Farm,27418,2014,NorthCentral
Bulow Plantation Ruins,23042,2014,CentralEast
Jack Island,22679,2014,CentralEast
Kissimmee Prairie,22408,2014,CentralEast
Ybor City,22280,2014,CentralWest
Seabranch,20945,2014,CentralEast
Forest Capital,20342,2014,NorthCentral
San Pedro,19198,2014,SouthEast
Lake Jackson Mounds,19166,2014,NorthCentral
Dunn's Creek,18507,2014,NorthEast
Peacock Springs,17470,2014,NorthCentral
Cedar Key State Museum,16167,2014,NorthCentral
San Marcos de Apalache,15151,2014,NorthCentral
